,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,diff_type
1160,18384135,BRIGHT RoOm IN ThE CiTy CENTER,127328773,Andrea,Ciutat Vella,el Raval,41.385013886,2.16826829418,Private room,45,2,18,2017-09-07,2.89,2,67,erased
1172,17991320,Great new flat in the center of Barcelona !!!!,13856967,Gustavo,Ciutat Vella,el Raval,41.3795743868,2.17059042768,Private room,25,2,3,2017-08-25,0.77,2,87,erased
1174,17991133,Perfect choice for a great holidays,13856967,Gustavo,Ciutat Vella,el Raval,41.378686406,2.1692875192,Private room,30,3,4,2017-08-26,0.94,2,87,erased
1176,19825031,Bright & Cozy double room next to Las Ramblas.,36806816,Marcel,Ciutat Vella,el Raval,41.3838897206,2.16720251081,Private room,75,1,1,2017-07-20,0.21,1,0,erased
1177,19148250,"Apartment city center, for 8",31325463,Mic,Ciutat Vella,el Raval,41.375272372,2.17518091867,Entire home/apt,110,4,3,2017-08-15,0.5,4,171,erased
1202,4159436,"Design, authentic 5 min from rambla",21585542,Eddie & Diego,Ciutat Vella,el Raval,41.377075558,2.16665857214,Entire home/apt,69,3,134,2017-10-30,3.57,1,5,erased
1206,18249514,Las Ramblas - BCN Central - Double Room 2,124573040,Claudio,Ciutat Vella,el Raval,41.3761286569,2.17569997805,Private room,39,1,5,2017-09-10,0.69,3,31,erased
1211,20085492,LoVeLy room Barcelona city Center,127328773,Andrea,Ciutat Vella,el Raval,41.3842668207,2.16927929187,Private room,50,1,4,2017-10-09,1.32,2,67,erased
1217,5272944,GORGEOUS RUSTIC FLAT HEART BCN E2,1853675,Richard,Ciutat Vella,el Raval,41.3797855085,2.16638624765,Entire home/apt,69,1,84,2017-08-02,2.45,14,265,erased
1222,16880929,Whole Apartment in Barcelona's Center,112550683,Sergio,Ciutat Vella,el Raval,41.3828005287,2.17135212029,Private room,80,4,2,2017-04-17,0.21,1,10,erased
1241,20279754,"Super Centric, Divisible Flat with Private Terrace",2952555,Frederic,Ciutat Vella,el Raval,41.3775385624,2.17074964459,Entire home/apt,350,2,1,2017-10-30,0.73,3,356,erased
